NOMBRE,LUGAR,GRAD_Y,GRAD_X
"TLP","RECINTO FERIAL",28.4546526,-16.2601084
"TENERIFE LAN PARTY","RECINTO FERIAL",28.4546526,-16.2601084
"SI SE PUEDE","SI SE PUEDE",28.4671551,-16.3746911
"SSP","SI SE PUEDE",28.4671551,-16.3746911
"CONCEJALIA DE FIESTAS","AYUNTAMIENTO DE SANTA CRUZ",28.4698153201,-16.2546994196
"FIESTAS","AYUNTAMIENTO DE SANTA CRUZ",28.4698153201,-16.2546994196
"SERVICIOS PUBLICOS DE SANTA CRUZ","AYUNTAMIENTO DE SANTA CRUZ",28.4698153201,-16.2546994196
"SOCIEDAD DE DESARROLLO","SOCIEDAD DE DESARROLLO",28.4663614,-16.2532713
"JUNTA DE GOBIERNO","AYUNTAMIENTO DE SANTA CRUZ",28.4698153201,-16.2546994196
"TELE TAXI TENERIFE","TELE TAXI TENERIFE",28.4632493,-16.3203909
"TELE TAXI","TELE TAXI",28.4632493,-16.3203909
"CONSISTORIO DE SANTA CRUZ DE TENERIFE","AYUNTAMIENTO DE SANTA CRUZ",28.4698153201,-16.2546994196
"CONSISTORIO DE SANTA CRUZ","AYUNTAMIENTO DE SANTA CRUZ",28.4698153201,-16.2546994196
"CONSISTORIO DE TENERIFE","AYUNTAMIENTO DE SANTA CRUZ",28.4698153201,-16.2546994196
"CONSISTORIO","AYUNTAMIENTO DE SANTA CRUZ",28.4698153201,-16.2546994196
"LA CORPORACION","AYUNTAMIENTO DE SANTA CRUZ",28.4698153201,-16.2546994196
"DEPARTAMENTO DE INVESTIGACION DE TURISMO DE TENERIFE","TURISMO DE TENERIFE",28.4408948,-16.2746059
"CUARTEL DE SAN CARLOS","CUARTEL SAN CARLOS",28.4646187,-16.2651996
"ADECCO","ADECCO",28.4686108,-16.2613937
"MINISTERIO DE EMPLEO","MINISTERIO DE EMPLEO",28.4729051,-16.251394600000026
"NUMANCIA","QUIOSCO NUMANCIA",28.4725192,-16.2577392
"EMPRESA MIXTA DE AGUAS DE SANTA CRUZ DE TENERIFE","EMMASA",28.4638706,-16.2689869
"EMMASA","EMMASA",28.4638706,-16.2689869
"SALESIANAS TENERIFE HOGAR ESCUELA MARIA AUXILIADORA","SALESIANAS TENERIFE HOGAR ESCUELA MARIA AUXILIADORA",28.4719579,-16.3190408
"HOGAR ESCUELA MARIA AUXILIADORA","SALESIANAS TENERIFE HOGAR ESCUELA MARIA AUXILIADORA",28.4719579,-16.3190408
"VILLALBA HERVAS","VILLALBA HERVAS",28.46778,-16.2515744
"ASOCIACION PADRE LARAÑA","ASOCIACION PADRE LARAÑA",28.45601840002983,-16.284813433885574
"REAL CLUB DE GOLF DE TENERIFE","REAL CLUB DE GOLF DE TENERIFE",28.487187,-16.3815214
"PUERTO DE SANTA CRUZ","PUERTO DE SANTA CRUZ",28.4768365,-16.2607456
"SANTA MARIA DEL MAR TRES BARRIOS","SANTA MARIA DEL MAR",28.4237524904,-16.3090272978
"TERMINAL DE CONTENEDORES DE SANTA CRUZ","TERMINAL DE CONTENEDORES DE SANTA CRUZ",28.4910226,-16.2287467
"SOCIEDAD MAMELS","SOCIEDAD MAMELS",28.464996,-16.2525247
"INSTITUTO MUNICIPAL DE ATENCION SOCIAL","IMAS",28.4639461,-16.2854604
"IMAS","IMAS",28.4639461,-16.2854604
"RESIDENCIA SAN PANCRACIO","RESIDENCIA SAN PANCRACIO",28.4635642,-16.282781999999997
"COCA-COLA","FABRICA COCA-COLA",28.4157497,-16.4730658
"FISCALIA","FISCALIA PROVINCIAL",28.4605763,-16.2535389
"LAS GAVIOTAS","LAS GAVIOTAS",28.5186107,-16.1748747
"CONSERVACION DEL PATRIMONIO","CICOP",28.4865543,-16.3048649
"CICOP","CICOP",28.4865543,-16.3048649
"AFILARMONICA NI FU NI FA","AFILARMONICA NI FU NI FA",28.4646016,-16.2523505
"AFILARMONICA NI FU-NI FA","AFILARMONICA NI FU NI FA",28.4646016,-16.2523505
"NI FU-NI FA","AFILARMONICA NI FU NI FA",28.4646016,-16.2523505
"NI FU NI FA","AFILARMONICA NI FU NI FA",28.4646016,-16.2523505
"SOCIEDAD NI FU NI FA","AFILARMONICA NI FU NI FA",28.4646016,-16.2523505
"SOCIEDAD NI FU-NI FA","AFILARMONICA NI FU NI FA",28.4646016,-16.2523505
"ATENCION SOCIAL","ATENCION SOCIAL",28.4639461,-16.2874857
"TRIBUNAL SUPERIOR DE JUSTICIA DE CANARIAS","TRIBUNAL SUPERIOR DE JUSTICIA DE CANARIAS",28.46826,-16.2514187
"TSJC","TRIBUNAL SUPERIOR DE JUSTICIA DE CANARIAS",28.46826,-16.2514187
"VALLE DE LAS HUERTAS","LAS TERESITAS",28.5080068,-16.1865688
"CENTRO COORDINADOR DE EMERGENCIAS","AYUNTAMIENTO DE SANTA CRUZ",28.4698153201,-16.2546994196
"CONSEJO MUNICIPAL DE SERVICIOS SOCIALES","AYUNTAMIENTO DE SANTA CRUZ",28.4698153201,-16.2546994196
"AVENIDA MARITIMA DE SANTA CRUZ","AVENIDA MARITIMA DE SANTA CRUZ",28.4656634,-16.249144
"PARLAMENTO DE CANARIAS","PARLAMENTO DE CANARIAS",28.4676521,-16.2543126
"CAMINO AJITIO","CAMINO AJITIO",28.5147735,-16.2296233
"TAXI METROPOLITANO DE TENERIFE","TAXI METROPOLITANO DE TENERIFE",28.4362556,-16.3220264
"RAMBLA DE SANTA CRUZ","RAMBLA DE SANTA CRUZ",28.4735163,-16.2562449
"AUTORIDAD PORTUARIA","AUTORIDAD PORTUARIA",28.4762948,-16.2499954
"PUERTOS","AUTORIDAD PORTUARIA",28.4762948,-16.2499954
"TENERIFE ESPACIO","TENERIFE ESPACIO",28.4639433139,-16.2510482496
"ASOCIACION PADRE LARANA","ASOCIACION PADRE LARAÑA",28.45601840002983,-16.284813433885574
"GERENCIA DE URBANISMO","GERENCIA DE URBANISMO",28.4585756,-16.2630056
"JUZGADOS DE INSTRUCCION","JUZGADOS DE INSTRUCCION",28.4598961,-16.253339
"AUDIENCIA PROVINCIAL DE SANTA CRUZ DE TENERIFE","AUDIENCIA PROVINCIAL",28.459961,-16.254821
"AUDIENCIA PROVINCIAL","AUDIENCIA PROVINCIAL",28.459961,-16.254821
"TOLIMAR CONSTRUCCIONES SL","TOLIMAR CONSTRUCCIONES SL",28.44908,-16.300140000000056
"FESTIVAL RURAL LAS ERAS DEL TABLERO","EL TABLERO",28.4231882,-16.3357931
"REAL CLUB NAUTICO DE TENERIFE","REAL CLUB NAUTICO DE TENERIFE",28.478704,-16.242177
"REAL CLUB NAUTICO","REAL CLUB NAUTICO DE TENERIFE",28.478704,-16.242177
"CLUB NAUTICO DE TENERIFE","REAL CLUB NAUTICO DE TENERIFE",28.478704,-16.242177
"CLUB NAUTICO","REAL CLUB NAUTICO DE TENERIFE",28.478704,-16.242177
"REAL CLUB NAUTICO","REAL CLUB NAUTICO DE TENERIFE",28.478704,-16.242177
"FINCA ESPAÑA","FINCA ESPAÑA",28.475833,-16.298333
"LA BARRANQUERA","LA BARRANQUERA",28.5395876,-16.3832945
"CASA DE LA POLVORA","CASA DE LA POLVORA",28.455306,-16.25375
"ASOCIACION GESTA DEL 25 DE JULIO","ASOCIACION GESTA DEL 25 DE JULIO",28.4659603,-16.248847699999942
"GESTA DEL 25 DE JULIO","ASOCIACION GESTA DEL 25 DE JULIO",28.4659603,-16.248847699999942
"GESTA DE 25 DE JULIO","ASOCIACION GESTA DEL 25 DE JULIO",28.4659603,-16.248847699999942
"ATESTADOS","POLICIA LOCAL",28.4580567,-16.2621427
"WEYLER","WEYLER",28.4678377,-16.2579708
"PARQUE LA ESTRELLA","PARQUE LA ESTRELLA",28.429152,-16.306192
"LA ESTRELLA","PARQUE LA ESTRELLA",28.429152,-16.306192
"URBANISMO","GERENCIA DE URBANISMO",28.4585756,-16.2630056
"DISTRITO JOVEN","SANTA CRUZ DE TENERIFE",28.463938,-16.262598
"CLUB CULTURAL COLOMBOFILO EL CABO","CLUB CULTURAL COLOMBOFILO EL CABO",28.4608497,-16.252786000000015
"CLUB COLOMBOFILO EL CABO","CLUB CULTURAL COLOMBOFILO EL CABO",28.4608497,-16.252786000000015
"BRAVO MURILLO","AVENIDA BRAVO MURILLO",28.4640025,-16.2507965
"LA NORIA","CALLE LA NORIA",28.4644485,-16.2504239
"TRAYSESA","TRAYSESA",28.4253571,-16.3132052
"TARA","ESCUELA INFANTIL MUNICIPAL TARA",28.4233309,-16.2852974
"IU","SEDE IZQUIERDA UNIDA",28.4656652,-16.3376794
"IUC","SEDE IZQUIERDA UNIDA",28.4656652,-16.3376794
"CONSORCIO DE BOMBEROS DE TENERIFE","CONSORCIO DE BOMBEROS DE TENERIFE",28.4705572,-16.3176045
"CONSORCIO DE TENERIFE","CONSORCIO DE BOMBEROS DE TENERIFE",28.4705572,-16.3176045
"CONSORCIO","CONSORCIO DE BOMBEROS DE TENERIFE",28.4705572,-16.3176045
"TITSA","TITSA",28.4073561,-16.3794081
"CATEDRA GENERAL GUTIERREZ","CATEDRA GENERAL GUTIERREZ",28.4826706,-16.3161763
"EL ROSARIO","EL ROSARIO",28.4328,-16.368215
"ULL","ULL",28.4833618,-16.3166405
"LA CAIXA","LA CAIXA",28.46934,-16.250729999999976
"LA LAGUNA","LA LAGUNA",28.424176024,-16.3181515511
"ASHOTEL","ASHOTEL",28.4758311,-16.3191083
"BINTER CANARIAS","BINTER CANARIAS",28.4595066,-16.2740123
"BINTER","BINTER CANARIAS",28.4595066,-16.2740123
"CGPJ","CGPJ",28.46826,-16.2514187
"AD AÑAZA","AD AÑAZA",28.420782,-16.301195
"SGAE","SGAE",28.442487,-16.399586
"FEDERACION DE GESTION CINEGETICA DE TENERIFE","FEDERACION DE GESTION CINEGETICA DE TENERIFE",28.4658365,-16.2491597
"ALAMEDA DUQUE DE SANTA ELENE","ALAMEDA DUQUE DE SANTA ELENE",28.4678523,-16.31757
"SAN FRANCISCO DE PAULA","CALLE SAN FRANCISCO DE PAULA",28.4660542,-16.2533196
"COMPAÑIA CERVECERA DE CANARIAS","COMPAÑIA CERVECERA DE CANARIAS",28.46294,-16.3106912
"GARCIA SANABRIA","GARCIA SANABRIA",28.4723387,-16.2559544
"LOS PAJAROS","VUELTA DE LOS PAJAROS",28.464381,-16.278164
"LA PAZ","LA PAZ",28.46792,-16.2635388
"URBASER","URBASER",28.448146,-16.275868
"IRENEO GONZALEZ","PLAZA IRENEO GONZALEZ",28.4695676,-16.2552923
"LA ROCHE","FRANCISCO LA ROCHE",28.4769245,-16.2475712
"PRINCIPE","PLAZA DEL PRINCIPE",28.4683426,-16.2525637
"CEPSA","CEPSA",28.4563567,-16.3318483
"FUNDACION CAJACANARIAS","","FUNDACION CAJACANARIAS",28.471134,-16.2612673
"TRES DE MAYO","AVENIDA TRES DE MAYO",28.4591479,-16.2587247
"NURYANA","COLEGIO NURYANA",28.479075,-16.325592
"BANCO DE ALIMENTOS DE TENERIFE","BANCO DE ALIMENTOS DE TENERIFE",28.439921,-16.282773
"BANCO DE ALIMENTOS","BANCO DE ALIMENTOS DE TENERIFE",28.439921,-16.282773
"POLVORIN DE GENETO","POLVORIN DE GENETO",28.4414338,-16.316524699999945
"MUSEO MUNICIPAL","MUSEO MUNICIPAL DE BELLAS ARTES",28.4682449,-16.319926
"AV AZORIN","AV AZORIN",28.45733,-16.2681457
"MAC","MUTUA DE ACCIDENTES DE CANARIAS",28.46772,-16.25395000000003
"MUTUA DE ACCIDENTES DE CANARIAS","MUTUA DE ACCIDENTES DE CANARIAS",28.46772,-16.25395000000003
"PALMETUM","PALMETUM",28.45192834050265,-16.25587373971939
"NI PICO NI CORTO","SEDE NI PICO NI CORTO",28.4643852,-16.24987490000001
"DISCOS NODA","DISCOS NODA",28.4673328,-16.253414399999997
"TOME CANO","TOME CANO",28.459799,-16.263224
"CIRCULO DE AMISTAD","CIRCULO DE AMISTAD",28.468746,-16.24984219999999
"CIRCULO DE AMISTAD XII DE ENERO","CIRCULO DE AMISTAD XII DE ENERO",28.468746,-16.24984219999999
"ORGANISMO AUTONOMO DE DEPORTES","ORGANISMO AUTONOMO DE DEPORTES",28.4894985,-16.316982300000063
"OAD","ORGANISMO AUTONOMO DE DEPORTES",28.4894985,-16.316982300000063
"HOYA FRIA","HOYA FRIA",28.4368096,-16.2908348
"ELITE TAXI","ASOCIACION ELITE TAXI TENERIFE",28.361064,-16.520282
"ELITE TAXI TENERIFE","ASOCIACION ELITE TAXI TENERIFE",28.453033,-16.29817860000003
"ONG SONRISAS CANARIAS","ONG SONRISAS CANARIAS",28.4867091,-16.237484999999992
"PALACIO DE JUSTICIA","PALACIO DE JUSTICIA",28.45994795301062,-16.251145005226135
"REGISTRO CIVIL","REGISTRO CIVIL",28.460141314185503,-16.250866055488586
"MENDEZ NUÑEZ","MENDEZ NUÑEZ",28.47461080042149,-16.249974220991135
"MUELLE DE RIBERA","MUELLE DE RIBERA",28.4720908,-16.2459137
"IMELDO SERIS","CALLE IMELDO SERIS",28.4666276,-16.251491700000003
"CONSEJO INSULAR DE LA VIVIENDA","CONSEJO INSULAR DE LA VIVIENDA",28.4660835,-16.247078699999975
"OAC","ORGANISMO AUTONOMO DE CULTURA",28.4698153201,-16.2546994196
"ORGANISMO AUTONOMO DE CULTURA","ORGANISMO AUTONOMO DE CULTURA",28.4698153201,-16.2546994196
"PANCHO CAMURRIA","PABELLON PANCHO CAMURRIA",28.45641,-16.26854000000003
"BENITO PEREZ ARMAS","AVENIDA BENITO PEREZ ARMAS",28.4614915,-16.266296900000043
"FOMENTO","MINISTERIO DE FOMENTO",28.4711491,-16.247712399999955
"VIVIENDAS MUNICIPALES","VIVIENDAS MUNICIPALES",28.4581017,-16.2610486
"LOS CARIOCAS","LOS CARIOCAS",28.4881087,-16.23824049999996
"SANSON","CALLE SANSON Y BARRIOS",28.458308141720313,-16.270637959241867
"LA OPINION DE TENERIFE","LA OPINION DE TENERIFE",28.46114,-16.25974999999994
"CAMINO EL TORNERO","CAMINO EL TORNERO",28.4943641,-16.3387539
"CAMBRIDGE SCHOOL","CAMBRIDGE SCHOOL",28.475317,-16.255017
"DOUBLES PRODUCCIONES","3 DOUBLES PRODUCCIONES",28.464760065155012,-16.251308619976044
"AUDIENCIA PROVINCIAL","AUDIENCIA PROVINCIAL",28.4605763,-16.2513502
"DOMINICAS","COLEGIO DOMINICAS",28.459995114305386,-16.281169652938843
"INSTITUTO NACIONAL DE ESTADISTICA","INSTITUTO NACIONAL DE ESTADISTICA",28.46882333799603,-16.251566112041473
"INE","INSTITUTO NACIONAL DE ESTADISTICA",28.46882333799603,-16.251566112041473
"AGENCIA ESTATAL DE METEREOLOGIA","AGENCIA ESTATAL DE METEREOLOGIA",28.4723095,-16.247384399999987
"DISA","DISA",28.4586766,-16.253846199999998
"INSTITUTO DE ASTROFISICA DE CANARIAS","INSTITUTO DE ASTROFISICA DE CANARIAS",28.4753186,-16.308990799999947
"IAC","INSTITUTO DE ASTROFISICA DE CANARIAS",28.4753186,-16.308990799999947
"BRONCO-LOMO LARGO","BRONCO-LOMO LARGO",28.49885452421557,-16.30242884159088
"SANTA ROSA DE LIMA","SANTA ROSA DE LIMA",28.4699005,-16.2518759
"SAN AGUSTIN","CALLE SAN AGUSTIN",28.4393632,-16.296679100000006
"EL CENTENERO","AVENIDA EL CENTENERO",28.454554,-16.329966
"LAS PEDRERAS","BARRANCO LAS PEDRERAS",28.4488933,-16.310833300000013
"PEDRO ALVAREZ","PEDRO ALVAREZ",28.5210052,-16.3164727
"EL CANTILLO","EL CANTILLO",28.4811275,-16.4132744
"VIA DE RONDA","VIA DE RONDA",28.5448203,-16.3543202
"LA VEGA","LA VEGA",28.3555935,-16.7357152
"HOTEL AGUERE","HOTEL AGUERE",28.489517,-16.318317
"COMPLEJO HOSPITALARIO UNIVERSITARIO DE CANARIAS","COMPLEJO HOSPITALARIO UNIVERSITARIO DE CANARIAS",28.470014,-16.270106
"HUC","COMPLEJO HOSPITALARIO UNIVERSITARIO DE CANARIAS",28.470014,-16.270106
"BAJAMAR","BAJAMAR",28.5536017,-16.3510866
"SAN JUAN BOSCO","SAN JUAN BOSCO",28470566,-16283163
"COAG-CANARIAS","COAG-CANARIAS",28.4667705,-16.2563978
"ASOCIACION DE ORGANIZACIONES DE PRODUCTORES DE PLATANOS DE CANARIAS","ASPROCAN",28.4682972,-16.2479854
"ASPROCAN","ASPROCAN",28.4682972,-16.2479854
"IES ANTONIO GONZALEZ DE TEJINA","IES ANTONIO GONZALEZ DE TEJINA",28.532545,-16.363791
"MERCADO DE SAN PABLO","MERCADO DE SAN PABLO",28.4885405,-16.3175711
"SCS","SERVICIO CANARIO DE SALUD",28.468508090683102,-16.256506070494652
"SAN BARTOLOME DE GENETO","SAN BARTOLOME DE GENETO",28.4662597,-16.3128962
"LA VERDELLADA","LA VERDELLADA",28.4807505,-16.3092228
"HERRADORES","CALLE HERRADORES",28.4880071,-16.3179668
"EL PALACIO DE CARTA","EL PALACIO DE CARTA",28.4670885,-16.2487652
"GOBIERNO","GOBIERNO DE CANARIAS",28.4615316,-16.250213
"GOBIERNO DE CANARIAS","GOBIERNO DE CANARIAS",28.4615316,-16.250213
"POLICIA LOCAL DE SANTA CRUZ DE TENERIFE","POLICIA LOCAL",28.4580567,-16.2621427
"POLICIA LOCAL DE SANTA CRUZ","POLICIA LOCAL",28.4580567,-16.2621427
"POLICIA LOCAL DE TENERIFE","POLICIA LOCAL",28.4580567,-16.2621427
"POLICIA DE TENERIFE","POLICIA LOCAL",28.4580567,-16.2621427
"POLICIA","POLICIA LOCAL",28.4580567,-16.2621427
"GUARDIA CIVIL","GUARDIA CIVIL",28.4745789,-16.2482374
"PLAZA ESPAÑA","PLAZA ESPAÑA",28.4672141,-16.247112000000016
"ESPAÑA","PLAZA ESPAÑA",28.4672141,-16.247112000000016
"SANTA CRUZ DE TENERIFE","SANTA CRUZ DE TENERIFE",28.463938,-16.262598
"SANTA CRUZ","SANTA CRUZ DE TENERIFE",28.463938,-16.262598
"CARNAVAL","SANTA CRUZ DE TENERIFE","SANTA CRUZ DE TENERIFE",28.463938,-16.262598
